MAX_LEN,MAX_THRESHOLD,MIN_LEN,MIN_THRESHOLD,N_ASSEMBLIES,SPECIES
6550056,7050056.0,6550056,6050056.0,1,Variovorax paradoxus
4316152,4747767.2,4316152,3884536.8000000003,1,Variovorax sp.
2177985,2395783.5,2132142,1918927.8,2,Veillonella parvula
2068317,2275148.7,2068317,1861485.3,1,Veillonella sp.
5566749,6066749.0,5566749,5066749.0,1,Verminephrobacter eiseniae
4001000,4401100.0,2949723,2654750.7,2,Verrucomicrobia bacterium
5514226,6014226.0,5514226,5014226.0,1,Verrucomicrobiae bacterium
8220857,8720857.0,8220857,7720857.0,1,Verrucomicrobium spinosum
6673976,7173976.0,6673976,6173976.0,1,Verrucosispora maris
4077462,4485208.2,3928357,3535521.3000000003,2,Vibrio cholerae
6438523,6938523.0,6146569,5646569.0,4,Vibrio nigripulchritudo
3821074,4203181.4,3821074,3438966.6,1,Virgibacillus sp.
4350553,4785608.300000001,4350553,3915497.7,1,Vulgatibacter incomptus
2116312,2327943.2,2116312,1904680.8,1,Waddlia chondrophila
2272954,2500249.4000000004,2272954,2045658.6,1,Weeksella virosa
1390397,1529436.7000000002,1355853,1220267.7,3,Weissella ceti
2466961,2713657.1,2466961,2220264.9,1,Weissella cibaria
1422478,1564725.8,1422478,1280230.2,1,Weissella koreensis
3427057,3769762.7,3427057,3084351.3000000003,1,Wenyingzhuangia fucanilytica
3675202,4042722.2,3675202,3307681.8000000003,1,Wenzhouxiangella marina
719535,791488.5000000001,697724,627951.6,2,Wigglesworthia glossinidia
3811479,4192626.9000000004,3811479,3430331.1,1,Winogradskyella sp.
4059891,4465880.100000001,4059891,3653901.9,1,Woeseia oceani
2123926,2336318.6,2123926,1911533.4000000001,1,Wohlfahrtiimonas chitiniclastica
1268461,1395307.1,1268461,1141614.9000000001,1,Wolbachia
1482455,1630700.5000000002,957990,862191.0,9,Wolbachia endosymbiont
1445873,1590460.3,1445873,1301285.7,1,Wolbachia sp.
2110355,2321390.5,2110355,1899319.5,1,Wolinella succinogenes
5308934,5808934.0,5308934,4808934.0,1,Xanthobacter autotrophicus
5472264,5972264.0,5339523,4839523.0,2,Xanthobacter sp.
5076919,5576919.0,5076919,4576919.0,1,Xanthobacteraceae bacterium
3790254,4169279.4000000004,3527730,3174957.0,14,Xanthomonas albilineans
5039408,5539408.0,5039408,4539408.0,1,Xanthomonas alfalfae
5218943,5718943.0,5218943,4718943.0,1,Xanthomonas arboricola
5446806,5946806.0,4967469,4470722.100000001,7,Xanthomonas axonopodis
5254865,5754865.0,4908383,4417544.7,9,Xanthomonas campestris
5197712,5697712.0,5197712,4697712.0,1,Xanthomonas cassavae
5175558,5675558.0,5123512,4623512.0,17,Xanthomonas citri
4232635,4655898.5,4232633,3809369.7,2,Xanthomonas fragariae
4981995,5480194.5,4981995,4483795.5,1,Xanthomonas fuscans
5052399,5552399.0,5052399,4552399.0,1,Xanthomonas hortorum
